,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageCond,PoolQC,Fence,MiscFeature,SalePrice_log,SalePrice
0,Gd,TA,No,GLQ,Unf,Ex,Y,Gd,Typ,None,RFn,TA,None,None,None,12.247694320220994,208500
1,Gd,TA,Gd,ALQ,Unf,Ex,Y,TA,Typ,TA,RFn,TA,None,None,None,12.109010932687042,181500
2,Gd,TA,Mn,GLQ,Unf,Ex,Y,Gd,Typ,TA,RFn,TA,None,None,None,12.31716669303576,223500
3,TA,Gd,No,ALQ,Unf,Gd,Y,Gd,Typ,Gd,Unf,TA,None,None,None,11.84939770159144,140000
4,Gd,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,TA,RFn,TA,None,None,None,12.429216196844383,250000
5,Gd,TA,No,GLQ,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,MnPrv,Shed,11.870599909242044,143000
6,Ex,TA,Av,GLQ,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.634603026569334,307000
7,Gd,TA,Mn,ALQ,BLQ,Ex,Y,TA,Typ,TA,RFn,TA,None,None,Shed,12.206072645530174,200000
8,TA,TA,No,Unf,Unf,Gd,Y,TA,Min1,TA,Unf,TA,None,None,None,11.77452020265869,129900
9,TA,TA,No,GLQ,Unf,Ex,Y,TA,Typ,TA,RFn,TA,None,None,None,11.678439903447801,118000
10,TA,TA,No,Rec,Unf,Ex,Y,TA,Typ,None,Unf,TA,None,None,None,11.771436160121729,129500
11,Ex,TA,No,GLQ,Unf,Ex,Y,Ex,Typ,Gd,Fin,TA,None,None,None,12.751299696013497,345000
12,TA,TA,No,ALQ,Unf,TA,Y,TA,Typ,None,Unf,TA,None,None,None,11.877568578558138,144000
13,Gd,TA,Av,Unf,Unf,Ex,Y,Gd,Typ,Gd,RFn,TA,None,None,None,12.540757571577291,279500
14,TA,TA,No,BLQ,Unf,TA,Y,TA,Typ,Fa,RFn,TA,None,GdWo,None,11.964001084330445,157000
