,Id,SalePrice,SalePrice_log,MSSubClass,LotFrontage,LotArea,OverallQual,YearBuilt,MasVnrArea,ExterQual,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageFinish,GarageArea,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,TotalSF,Age,TotPorchSF,TotBaths,TotCarGarage,Has2ndFl,HasPorch,HasDeck,HasPool,HasFirePlace,HasGasHeating,HasExBsmtQual,HasIrregularLotShape,HasLandSlope,FoundationType,HasStoneMas,NeighborhoodType
0,1,208500,12.24769432,60,65,8450,7,2003,196,Gd,706,150,856,856,854,1710,1,0,2,1,1,Gd,8,Attchd,RFn,548,TA,0,61,0,0,0,2566,4011,61,3.5,0,1,1,0,0,1,1,0,0,1,2,0,1
1,2,181500,12.10901093,20,80,9600,6,1976,0,TA,978,284,1262,1262,0,1262,0,1,2,0,1,TA,6,Attchd,RFn,460,TA,298,0,0,0,0,2524,3983,0,2.5,0,0,0,1,0,1,1,0,0,1,1,0,1
2,3,223500,12.31716669,60,68,11250,7,2001,162,Gd,486,434,920,920,866,1786,1,0,2,1,1,Gd,6,Attchd,RFn,608,TA,0,42,0,0,0,2706,4010,42,3.5,0,1,1,0,0,1,1,0,1,1,2,0,1
3,4,140000,11.8493977,70,60,9550,7,1915,0,TA,216,540,756,961,756,1717,1,0,1,0,1,Gd,7,Detchd,Unf,642,TA,0,35,272,0,0,2473,3976,307,2,3,1,1,0,0,1,1,0,1,1,0,0,1
4,5,250000,12.4292162,60,84,14260,8,2000,350,Gd,655,490,1145,1145,1053,2198,1,0,2,1,1,Gd,9,Attchd,RFn,836,TA,192,84,0,0,0,3343,4008,84,3.5,3,1,1,1,0,1,1,0,1,1,2,0,2
5,6,143000,11.87059991,50,85,14115,5,1993,0,TA,732,64,796,796,566,1362,1,0,1,1,1,TA,5,Attchd,Unf,480,TA,40,30,0,320,0,2158,4004,350,2.5,0,1,1,1,0,1,1,0,1,1,0,0,1
6,7,307000,12.63460303,20,75,10084,8,2004,186,Gd,1369,317,1686,1694,0,1694,1,0,2,0,1,Gd,7,Attchd,RFn,636,TA,255,57,0,0,0,3380,4012,57,3,0,0,1,1,0,1,1,1,0,1,2,1,1
7,8,200000,12.20607265,60,70.04995837,10382,7,1973,240,TA,859,216,1107,1107,983,2090,1,0,2,1,1,TA,7,Attchd,RFn,484,TA,235,204,228,0,0,3197,3982,432,3.5,0,1,1,1,0,1,1,0,1,1,1,1,1
8,9,129900,11.7745202,50,51,6120,7,1931,0,TA,0,952,952,1022,752,1774,0,0,2,0,2,TA,8,Detchd,Unf,468,Fa,90,0,205,0,0,2726,3958,205,2,0,1,1,1,0,1,1,0,0,1,0,0,1
9,10,118000,11.6784399,190,50,7420,5,1939,0,TA,851,140,991,1077,0,1077,1,0,1,0,2,TA,5,Attchd,RFn,205,Gd,0,4,0,0,0,2068,3958,4,2,0,0,1,0,0,1,1,0,0,1,0,0,1
10,11,129500,11.77143616,20,70,11200,5,1965,0,TA,906,134,1040,1040,0,1040,1,0,1,0,1,TA,5,Detchd,Unf,384,TA,0,0,0,0,0,2080,3973,0,2,0,0,0,0,0,1,1,0,0,1,1,0,1
11,12,345000,12.7512997,60,85,11924,9,2005,286,Ex,998,177,1175,1182,1142,2324,1,0,3,0,1,Ex,11,BuiltIn,Fin,736,TA,147,21,0,0,0,3499,4012,21,4,3,1,1,1,0,1,1,1,1,1,2,1,2
12,13,144000,11.87756858,20,70.04995837,12968,5,1962,0,TA,737,175,912,912,0,912,1,0,1,0,1,TA,4,Detchd,Unf,352,TA,140,0,0,0,176,1824,3970,176,2,0,0,1,1,0,1,1,0,1,1,1,0,1
13,14,279500,12.54075757,20,91,10652,7,2006,306,Gd,0,1494,1494,1494,0,1494,0,0,2,0,1,Gd,7,Attchd,RFn,840,TA,160,33,0,0,0,2988,4014,33,2,3,0,1,1,0,1,1,0,1,1,2,1,1
14,15,157000,11.96400108,20,70.04995837,10920,6,1960,212,TA,733,520,1253,1253,0,1253,1,0,1,1,1,TA,5,Attchd,RFn,352,TA,0,213,176,0,0,2506,3968,389,2.5,0,0,1,0,0,1,1,0,1,1,1,0,1
15,16,132000,11.7905572,45,51,6120,7,1929,0,TA,0,832,832,854,0,854,0,0,1,0,1,TA,5,Detchd,Unf,576,TA,48,112,0,0,0,1686,4008,112,1,0,0,1,1,0,1,1,0,0,1,0,0,1
16,17,149000,11.91170158,20,70.04995837,11241,6,1970,180,TA,578,426,1004,1004,0,1004,1,0,1,0,1,TA,5,Attchd,Fin,480,TA,0,0,0,0,0,2008,3980,0,2,0,0,0,0,0,1,1,0,1,1,1,0,1
17,18,90000,11.40756495,90,72,10791,4,1967,0,TA,0,0,0,1296,0,1296,0,0,2,0,2,TA,6,CarPort,Unf,516,TA,0,0,0,0,0,1296,3973,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1
18,19,159000,11.97665948,20,66,13695,5,2004,0,TA,646,468,1114,1114,0,1114,1,0,1,1,1,Gd,6,Detchd,Unf,576,TA,0,102,0,0,0,2228,4012,102,2.5,0,0,1,0,0,1,1,0,0,1,2,0,1
19,20,139000,11.84222921,20,70,7560,5,1958,0,TA,504,525,1029,1339,0,1339,0,0,1,0,1,TA,6,Attchd,Unf,294,TA,0,0,0,0,0,2368,3974,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1
20,21,325300,12.69250311,60,101,14215,8,2005,380,Gd,0,1158,1158,1158,1218,2376,0,0,3,1,1,Gd,9,BuiltIn,RFn,853,TA,240,154,0,0,0,3534,4012,154,3.5,3,1,1,1,0,1,1,1,1,1,2,0,2
21,22,139400,11.84510278,45,57,7449,7,1930,0,TA,0,637,637,1108,0,1108,0,0,1,0,1,Gd,6,Attchd,Unf,280,TA,0,0,205,0,0,1745,3957,205,1,0,0,1,0,0,1,1,0,0,1,2,0,0
22,23,230000,12.34583459,20,75,9742,8,2002,281,Gd,0,1777,1777,1795,0,1795,0,0,2,0,1,Gd,7,Attchd,RFn,534,TA,171,159,0,0,0,3572,4010,159,2,0,0,1,1,0,1,1,0,0,1,2,0,1
23,24,129900,11.7745202,120,44,4224,5,1976,0,TA,840,200,1040,1060,0,1060,1,0,1,0,1,TA,6,Attchd,Unf,572,TA,100,110,0,0,0,2100,3983,110,2,0,0,1,1,0,1,1,0,0,1,2,0,0
24,25,154000,11.94470788,20,70.04995837,8246,5,1968,0,TA,188,204,1060,1060,0,1060,1,0,1,0,1,Gd,6,Attchd,Unf,270,TA,406,90,0,0,0,2120,4011,90,2,0,0,1,1,0,1,1,0,1,1,1,0,1
25,26,256300,12.45410391,20,110,14230,8,2007,640,Gd,0,1566,1566,1600,0,1600,0,0,2,0,1,Gd,7,Attchd,RFn,890,TA,0,56,0,0,0,3166,4016,56,2,3,0,1,0,0,1,1,0,0,1,2,1,2
26,27,134800,11.81154748,20,60,7200,5,1951,0,TA,234,180,900,900,0,900,0,1,1,0,1,Gd,5,Detchd,Unf,576,TA,222,32,0,0,0,1800,4010,32,1.5,0,0,1,1,0,1,1,0,0,1,1,0,1
27,28,306000,12.63134038,20,98,11478,8,2007,200,Gd,1218,486,1704,1704,0,1704,1,0,2,0,1,Gd,7,Attchd,RFn,772,TA,0,50,0,0,0,3408,4018,50,3,3,0,1,0,0,1,1,1,0,1,2,1,2
28,29,207500,12.24288662,20,47,16321,5,1957,0,TA,1277,207,1484,1600,0,1600,1,0,1,0,1,TA,6,Attchd,RFn,319,TA,288,258,0,0,0,3084,4003,258,2,0,0,1,1,0,1,1,0,1,1,1,0,1
29,30,68500,11.13458902,30,60,6324,4,1927,0,TA,0,520,520,520,0,520,0,0,1,0,1,Fa,4,Detchd,Unf,240,Fa,49,0,87,0,0,1040,3958,87,1,0,0,1,1,0,1,1,0,1,1,0,0,1
